name,lat,lon,temp,humidity,temp_max,clouds,wind,country,city_id,date
rikitea,-23.1203,-134.9692,77.83,68,77.83,87,7.58,PF,4030556,1643719764
arraial do cabo,-22.9661,-42.0278,82.26,78,82.36,75,3.44,BR,3471451,1643719765
busselton,-33.65,115.3333,68.04,42,68.04,0,18.45,AU,2075265,1643719766
yellowknife,62.456,-114.3525,-23.15,76,-22.45,20,9.22,CA,6185377,1643719727
hasaki,35.7333,140.8333,32.4,48,32.4,1,15.39,JP,2112802,1643719767
turukhansk,65.8167,87.9833,10.71,94,10.71,100,10.89,RU,1488903,1643719768
anadyr,64.75,177.4833,18.1,79,18.1,20,40.26,RU,2127202,1643719769
kavaratti,10.5669,72.642,81.12,69,81.12,5,9.6,IN,1267390,1643719769
samfya,-11.3649,29.5565,76.98,69,76.98,74,0.67,ZM,899274,1643719770
port elizabeth,-33.918,25.5701,86.29,58,92.1,40,11.5,ZA,964420,1643719770
albany,42.6001,-73.9662,12.49,67,18.3,20,1.54,US,5106841,1643719544
hambantota,6.1241,81.1185,84.54,79,84.54,40,4.61,LK,1244926,1643719772
santa fe,-31.6333,-60.7,76.37,54,78.01,0,5.01,AR,3836277,1643719637
taltal,-25.4,-70.4833,67.69,69,67.69,0,5.17,CL,3870243,1643719692
chiang klang,19.2938,100.8617,71.6,54,71.6,2,0.96,TH,1611195,1643719773
saint-philippe,-21.3585,55.7679,83.75,83,89.15,43,17.29,RE,935215,1643719773
nome,64.5011,-165.4064,19.47,49,19.47,0,17.27,US,5870133,1643719773
unity,52.4501,-109.1682,-15.75,98,-15.75,22,9.31,CA,6172009,1643719774
hengshui,37.7322,115.7011,28.87,39,28.87,100,6.11,CN,1808392,1643719774
vaini,-21.2,-175.2,78.96,89,78.96,20,5.75,TO,4032243,1643719774
killybegs,54.6333,-8.45,50.36,85,51.51,90,21.97,IE,2963295,1643719777
mackenzie,55.2999,-123.1698,1.62,60,1.62,100,3.44,CA,6063191,1643719777
hobyo,5.3505,48.5268,81.81,68,81.81,59,21.18,SO,57000,1643719777
tiksi,71.6872,128.8694,-14.46,100,-14.46,100,2.57,RU,2015306,1643719778
atuona,-9.8,-139.0333,78.19,76,78.19,28,23.53,PF,4020109,1643719778
nanortalik,60.1432,-45.2371,15.24,79,15.24,20,8.79,GL,3421765,1643719778
yar-sale,66.8333,70.8333,-17.19,99,-17.19,79,5.73,RU,1486321,1643719779
trelew,-43.249,-65.3051,73.22,37,73.22,5,18.14,AR,3833883,1643719779
viedma,-40.8135,-62.9967,76.3,31,76.3,0,18.12,AR,3832899,1643719779
kandrian,-6.2167,149.55,78.12,87,78.12,100,7.81,PG,2094746,1643719780
port hardy,50.6996,-127.4199,37.58,87,37.76,75,6.91,CA,6111862,1643719581
